match_link,match_datetime,team_scoring,team_scoring_name,scorer,goal_time_label,goal_time,is_own_goal,is_penalty,is_during_extra
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3061,1994-06-21,home,Nigeria,Yekini, 21',21,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3061,1994-06-21,home,Nigeria,Amokachi, 43',43,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3061,1994-06-21,home,Nigeria,Amunike, 55',55,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3071,1994-06-25,home,Argentina,Caniggia, 21',21,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3071,1994-06-25,home,Argentina,Caniggia,28',28,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3071,1994-06-25,away,Nigeria,Siasia, 8',8,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3072,1994-06-26,home,Bulgaria,Stoichkov, 5' (pen.),5,False,True,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3072,1994-06-26,home,Bulgaria,Stoichkov,55' (pen.),55,False,True,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3072,1994-06-26,home,Bulgaria,Letchkov, 65',65,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3072,1994-06-26,home,Bulgaria,Borimirov, 90',90,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3084,1994-06-30,away,Bulgaria,Stoichkov, 61',61,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3084,1994-06-30,away,Bulgaria,Sirakov, 90+3',93,False,False,True
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3083,1994-06-30,away,Nigeria,George, 45+2',47,False,False,True
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3083,1994-06-30,away,Nigeria,Amokachi, 90+5',95,False,False,True
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3049,1994-06-17,home,Germany,Klinsmann, 61',61,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3050,1994-06-17,home,Spain,Salinas, 51',51,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3050,1994-06-17,home,Spain,Goikoetxea, 55',55,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3050,1994-06-17,away,South Korea,Hong Myung-bo, 85',85,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3050,1994-06-17,away,South Korea,Seo Jung-won, 90',90,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3060,1994-06-21,home,Germany,Klinsmann, 48',48,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3060,1994-06-21,away,Spain,Goikoetxea, 14',14,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3075,1994-06-27,home,Bolivia,E. Sánchez, 67',67,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3075,1994-06-27,away,Spain,Guardiola, 19' (pen.),19,False,True,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3075,1994-06-27,away,Spain,Caminero, 66',66,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3075,1994-06-27,away,Spain,Caminero,70',70,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3076,1994-06-27,home,Germany,Klinsmann, 12',12,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3076,1994-06-27,home,Germany,Klinsmann,37',37,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3076,1994-06-27,home,Germany,Riedle, 20',20,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3076,1994-06-27,away,South Korea,Hwang Sun-hong, 52',52,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3076,1994-06-27,away,South Korea,Hong Myung-bo, 63',63,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3054,1994-06-19,home,Belgium,Degryse, 11',11,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3058,1994-06-20,home,Netherlands,Jonk, 50',50,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3058,1994-06-20,home,Netherlands,Taument, 86',86,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3058,1994-06-20,away,Saudi Arabia,Anwar, 18',18,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3069,1994-06-25,home,Belgium,Albert, 65',65,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3070,1994-06-25,home,Saudi Arabia,Al-Jaber, 7' (pen.),7,False,True,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3070,1994-06-25,home,Saudi Arabia,Anwar, 45',45,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3070,1994-06-25,away,Morocco,Chaouch, 26',26,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3082,1994-06-29,away,Saudi Arabia,Al-Owairan, 5',5,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3081,1994-06-29,home,Morocco,Nader, 47',47,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3081,1994-06-29,away,Netherlands,Bergkamp, 43',43,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3081,1994-06-29,away,Netherlands,Roy, 77',77,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3052,1994-06-18,away,Republic of Ireland,Houghton, 11',11,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3055,1994-06-19,home,Norway,Rekdal, 84',84,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3064,1994-06-23,home,Italy,D. Baggio, 69',69,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3066,1994-06-24,home,Mexico,García, 42',42,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3066,1994-06-24,home,Mexico,García,65',65,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3066,1994-06-24,away,Republic of Ireland,Aldridge, 84',84,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3078,1994-06-28,home,Italy,Massaro, 48',48,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3078,1994-06-28,away,Mexico,Bernal, 57',57,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3085,1994-07-02,home,Germany,Völler, 6',6,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3085,1994-07-02,home,Germany,Völler,38',38,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3085,1994-07-02,home,Germany,Klinsmann, 11',11,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3085,1994-07-02,away,Belgium,Grün, 8',8,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3085,1994-07-02,away,Belgium,Albert, 90',90,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3086,1994-07-02,home,Spain,Hierro, 15',15,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3086,1994-07-02,home,Spain,Luis Enrique, 74',74,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3086,1994-07-02,home,Spain,Begiristain, 86' (pen.),86,False,True,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3087,1994-07-03,home,Saudi Arabia,Al-Ghesheyan, 85',85,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3087,1994-07-03,away,Sweden,Dahlin, 6',6,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3087,1994-07-03,away,Sweden,K. Andersson, 51',51,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3087,1994-07-03,away,Sweden,K. Andersson,88',88,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3088,1994-07-03,home,Romania,Dumitrescu, 11',11,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3088,1994-07-03,home,Romania,Dumitrescu,18',18,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3088,1994-07-03,home,Romania,Hagi, 58',58,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3088,1994-07-03,away,Argentina,Batistuta, 16' (pen.),16,False,True,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3088,1994-07-03,away,Argentina,Balbo, 75',75,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3089,1994-07-04,home,Netherlands,Bergkamp, 11',11,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3089,1994-07-04,home,Netherlands,Jonk, 41',41,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3090,1994-07-04,home,Brazil,Bebeto, 72',72,False,False,False
https://www.fifa.com/worldcup/archive/usa1994/matches/match/3091,1994-07-05,home,Nigeria,Amunike, 25',25,False,False,False
